route_name,route_link,bus_name,bus_type,departure_time,duration,arrival_time,price,star_rating,seats_availability
"Varanasi to Allahabad
From INR 200",https://www.redbus.in/bus-tickets/varanasi-to-allahabad,Mishra Travels,NON A/C Seater (2+2),15:30,03h 30m,19:00,600,N/A,23 Seats available
"Varanasi to Allahabad
From INR 200",https://www.redbus.in/bus-tickets/varanasi-to-allahabad,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20 Seats available
"Lucknow to Jaunpur
From INR 364",https://www.redbus.in/bus-tickets/lucknow-to-jaunpur,Yolo Bus,A/C Sleeper (2+1),22:19,05h 45m,04:04,549,3.8,23 Seats available
"Lucknow to Jaunpur
From INR 364",https://www.redbus.in/bus-tickets/lucknow-to-jaunpur,Golden Holidays,A/C Seater / Sleeper (2+1),22:40,05h 30m,04:10,599,4.2,23 Seats available
"Aligarh (uttar pradesh) to Haridwar
From INR 469",https://www.redbus.in/bus-tickets/aligarh-to-haridwar,UPSRTC - ALI0153,Ordinary Non AC Seater 2+3,20:00,07h 20m,03:20,488,3.3,52 Seats available
"Shahjahanpur (Uttar Pradesh) to Delhi
From INR 533",https://www.redbus.in/bus-tickets/shahjahanpur-to-delhi,R S YADAV SMART BUS PRIVATE LIMITED,VE A/C Sleeper (2+1),22:45,07h 20m,06:05,799,4.5,28 Seats available
"Lucknow to Azamgarh
From INR 407",https://www.redbus.in/bus-tickets/lucknow-to-azamgarh,Ashok Tour And Travels,AC Seater (2+2),16:00,03h 30m,19:30,549,4.6,27 Seats available
"Lucknow to Azamgarh
From INR 407",https://www.redbus.in/bus-tickets/lucknow-to-azamgarh,Aarohi Travels,AC Seater (2+2),15:00,03h 30m,18:30,500,3.4,40 Seats available
"Lucknow to Azamgarh
From INR 407",https://www.redbus.in/bus-tickets/lucknow-to-azamgarh,Ashok Tour And Travels,AC Seater (2+2),13:30,03h 15m,16:45,549,3.4,15 Seats available
"Lucknow to Azamgarh
From INR 407",https://www.redbus.in/bus-tickets/lucknow-to-azamgarh,Bhanupriya Express,A/C Seater (2+1),13:55,04h 50m,18:45,400,2.8,30 Seats available
"Lucknow to Azamgarh
From INR 407",https://www.redbus.in/bus-tickets/lucknow-to-azamgarh,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15 Seats available
